股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
600888.SH,新疆众和,100.0,,,
002203.SZ,海亮股份,95.0,经营现金流风险,1.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%"
000708.SZ,中信特钢,100.0,,,
600982.SH,宁波能源,100.0,,,
300630.SZ,普利制药,88.0,"应收账款占收入比例过高;短期负债风险;应收款增加,低现金流",3.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为90.86%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止20220930,公司应收账款增速为64.23%，净利润增速为16.73%，经营活动现金流（8218.57万元）小于净利润（45546.41万元）"
603223.SH,恒通股份,65.0,毛利率偏低;高质押风险;清仓式减持,3.0,"截止20220930,该公司扣非净利润为正，但毛利率为2.70%;截止20230310公司质押比例已达49.62%;特定股东TXT:    特定股东持股的基本情况
    本次减持计划前，于江水先生持有恒通物流股份有限公司（以下简称“公司”）股份21856226股，占公司总股本的4.28%，其所持有股份来源为IPO前取得股份及上市后通过资本公积金转增股本取得的股份，为无限售条件流通股
    减持计划的主要内容
    于江水先生计划自本公告发布之日起3个交易日后的6个月内，拟通过集中竞价交易方式和大宗交易方式减持21856226股，减持比例为公司股份总数的4.28%（若减持期间公司有送股、资本公积金转增股本等股份变动事项，减持股份数量进行相应调整）
    减持期间：2022/12/16～2023/6/15。"
300347.SZ,泰格医药,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为77.50亿元,流动负债合计为40.59亿元"
000963.SZ,华东医药,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为8.39%，净利润增速为4.54%，经营活动现金流（132025.29万元）小于净利润（198147.00万元）"
000937.SZ,冀中能源,92.0,关联交易风险,1.0,业务单一且大量关联方交易(关联交易方占净利润97.25%)
001979.SZ,招商蛇口,65.0,净利润陡降风险;业绩公告预警;清仓式减持,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为380000万元-460000万元，与上年同期相比下降55.65%-63.36%。;股东TXT:    一、股东的基本情况
    （一）股东名称：深圳市招为投资合伙企业（有限合伙）；
    （二）截至本公告披露之日，招为投资持有本公司股份7563911股，占公司总股本的0.095%；
    （三）招为投资为本公司控股股东招商局集团有限公司之一致行动人。
    三、本次减持计划的主要内容
    （一）减持原因：招为投资投资策略需要；
    （二）股份来源：本公司非公开发行的股份；
    （三）减持数量和比例：以集中竞价交易方式减持公司股份不超过7563911股（占公司总股本的0.095%），若此期间有送股、资本公积转增股本等股本变动事项，前述减持数量将进行相应调整；
    （四）减持期间：本计划公告之日起15个交易日后的6个月内，即2022年7月6日至2023年1月5日（根据相关法律法规规定禁止减持的期间除外），本公告披露之日起15个交易日内，不进行减持，不再执行第五次减持计划；（五）减持方式：集中竞价交易方式；
    （六）减持价格区间：根据减持时市场价格确定。"
600644.SH,乐山电力,87.0,流动性风险;长期不分红,2.0,截止至2022-09-30，流动比率小于1，速动比率小于0.5;久不分红，公司最近一次现金分红为2012-12-31财报：10派0.5元(含税)
301161.SZ,唯万密封,100.0,,,
002888.SZ,惠威科技,70.0,市盈率过高;净利润陡降风险;业绩公告预警,3.0,该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为150万元至350万元，与上年同期相比变动幅度为-95%至-86%。
600354.SH,敦煌种业,85.0,财报亏损;长期不分红,2.0,最新季度20220930净利润：-3469.87万;久不分红，公司最近一次现金分红为2004-12-31财报：10派0.4元(含税)
300034.SZ,钢研高纳,90.0,分析师评级下调,1.0,"盈利预测、估值与评级：公司是国内最专业、最全面的高温合金技术领军企业之一，受益于原材料成本的下行、需求的高确定性、公司前瞻性的产能基地布局，预计公司未来两年业绩有望重回高增长通道。鉴于2022Q3镍价下行趋势低于预期，我们下调2022年公司归母净利润预测至3.20亿元（原预测为3.65亿元），维持公司2023-2024年归母净利润预测为5.06/6.27亿元,对应2022-2024年EPS预测分别为0.66/1.04/1.29元。参考当前可比公司估值水平（图南股份、隆达股份Wind一致预期下2023年平均PE为40倍），考虑公司在新型高温合金中拥有较高的市场份额，作为美国精密铸件公司（PCC）的潜在对标者，技术优势突出，我们认为2023年55倍PE是公司合理的估值水平，对应目标价57元，将公司评级由“买入”下调为“持有”。"
835892.BJ,中科美菱,95.0,长时间停牌,1.0,于2022-06-28，Jun 28 2022  9:30AM单次停牌时长超过两个月
600900.SH,长江电力,86.0,短期负债风险;流动性风险,2.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30，流动比率小于1，速动比率小于0.5
301356.SZ,天振股份,95.0,上市首日破发,1.0,公司上市首日即跌破发行价，跌幅为10.97%。
300516.SZ,久之洋,94.0,高库存隐忧,1.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%
600378.SH,昊华科技,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为27.05%，净利润增速为18.13%，经营活动现金流（16542.88万元）小于净利润（75596.71万元）"
002643.SZ,万润股份,100.0,,,
300114.SZ,中航电测,100.0,,,
600218.SH,全柴动力,90.0,净利润陡降风险,1.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%
605208.SH,永茂泰,84.0,短期负债风险;业绩公告预警,2.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于母公司所有者的净利润为8600万元至11600万元，与上年同期相比变动幅度为-62.17%至-48.97%。
833533.BJ,骏创科技,100.0,,,
603527.SH,众源新材,100.0,,,
601005.SH,重庆钢铁,67.0,流动性风险;业绩公告预警;业绩变脸风险;财报亏损;研发人员减少;股价偏低;长期不分红,7.0,"截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-103000万元，与上年同期相比变动幅度为-145.29%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2.71亿;截止2021-12-31,公司研发人员相对上期减少29.25%;截至20230313,该公司股价低于2元;久不分红，公司最近一次现金分红为2008-12-31财报：10派1元（含税）"
300026.SZ,红日药业,90.0,股权冻结,1.0,"2023-01-11,红日药业：关于持股5%以上的股东股份被轮候冻结的公告"
601818.SH,光大银行,95.0,可转债临近转股期,1.0,该公司在6个月内有可转债到达转股截止日
301090.SZ,华润材料,100.0,,,
300077.SZ,国民技术,69.0,扣非亏损;业绩公告预警;业绩变脸风险;存货同比大幅增加;高层被立案调查;股权分散,6.0,"该公司最新财报显示净利润为正，但扣非净利润为负;预计公司2022年01-12月归属于上市公司股东的净利润为-3300万元至-2300万元，与上年同期相比变动幅度为-115.07%至-110.5%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损;截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%;截止至20221211,2022年12月12日，国民技术股份有限公司（以下简称“公司”）接到公司董事俞鹂女士的通知，其于2022年12月11日收到中国证券监督管理委员会（以下简称“中国证监会”）的《立案告知书》（证监立案字0152022005号），因其涉嫌内幕交易公司的股票，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，中国证监会决定对其立案。;孙迎彤(第一大股东)持股比例为3.73%。"
600137.SH,浪莎股份,85.0,高质押风险,1.0,截止20230310公司质押比例已达52.75%
301270.SZ,汉仪股份,100.0,,,
002446.SZ,盛路通信,81.0,高库存隐忧;交易所公开谴责;股权分散,3.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;于2022-07-22公布关于对罗剑平、郭依勤给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-07-25_002446101478.pdf;杨华(第一大股东)持股比例为9.85%。
001296.SZ,长江材料,75.0,净利润陡降风险;清仓式减持,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;股东TXT:    苏州天瑶钟山创业投资中心（有限合伙）（以下简称“天瑶钟山”）、苏州天枢钟山创业投资中心（有限合伙）（以下简称“天枢钟山”）的执行事务合伙人均为嘉兴富海投资管理有限公司，作为一致行动人合计持有本公司股份8306857股（占本公司总股本的7.78%）。其中天瑶钟山持有本公司股份4719806股（占本公司总股本的4.42%）、天枢钟山持有本公司股份3587051股（占本公司总股本的3.36%）。天瑶钟山、天枢钟山计划在本公告披露之日起15个交易日后的6个月内通过集中竞价、大宗交易方式合计减持不超过8306857股（占本公司总股本的7.78%）。
300341.SZ,麦克奥迪,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为54.49%，净利润增速为51.23%，经营活动现金流（9365.07万元）小于净利润（18210.97万元）"
300511.SZ,雪榕生物,80.0,扣非亏损;财务粉饰;业绩公告预警;业绩变脸风险,4.0,该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30，非经常性损益2914万>3*净利润623万、净利润623万>500万;预计公司2022年01-12月归属于上市公司股东的净利润为-35000万元至-25000万元，与上年同期相比变动幅度为-13.3%至19.07%。;截止2023-01-13，三季报显示公司盈利，但预告今年业绩或将亏损
838163.BJ,方大新材,95.0,成交不活跃,1.0,"截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
603970.SH,中农立华,100.0,,,
002491.SZ,通鼎互联,85.0,公允价值收益异常;被频繁问询监管;研发人员减少;交易所监管,4.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止至2023-03-14，公司近一年内问询监管次数大于3次;截止2021-12-31,公司研发人员相对上期减少28.91%;关于对通鼎互联信息股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002491176827.pdf"
600716.SH,凤凰股份,79.0,公允价值收益异常;货币资产充足仍举债;业绩公告预警;业绩变脸风险,4.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止20220930,公司货币资产为12.72亿元,流动负债合计为11.95亿元;预计公司2022年01-12月归属于上市公司股东的净利润为-42600万元至-35500万元，与上年同期相比变动幅度为-1306.96%至-1105.8%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损"
301095.SZ,广立微,100.0,,,
839680.BJ,广道数字,84.0,"应收款增加,低现金流;大比例解禁",2.0,"截止20220930,公司应收账款增速为19.38%，净利润增速为12.00%，经营活动现金流（2883.09万元）小于净利润（4342.32万元）;广道数字首发、公开增发网下配售股份,在三个月内解禁2385.31万股，解禁比例35.60%>8%"
002082.SZ,万邦德,75.0,应收账款占收入比例过高;员工人数陡降;研发人员减少;高质押风险,4.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为89.57%;截止2021-12-31，公司员工人数相对上期下降47.01%;截止2021-12-31,公司研发人员相对上期减少35.08%;截止20230310公司质押比例已达42.77%"
600007.SH,中国国贸,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为32.22亿元,流动负债合计为16.28亿元"
603730.SH,岱美股份,100.0,,,
600736.SH,苏州高新,90.0,经营现金流风险;高财务费用,2.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止2022-09-30,该公司财务费用高于归属母公司股东净利润。"
300590.SZ,移为通信,100.0,,,
300890.SZ,翔丰华,94.0,存货同比大幅增加,1.0,截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%
600113.SH,浙江东日,100.0,,,
300102.SZ,乾照光电,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-6990万元至-3590万元，与上年同期相比变动幅度为-137.41%至-119.21%。;截止2023-01-18，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2172.93万
301157.SZ,华塑科技,95.0,换手率过高,1.0,截止最新交易日，该股票近5日换手率达159.2748%
600460.SH,士兰微,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为23.58%，净利润增速为6.43%，经营活动现金流（66.06万元）小于净利润（77438.86万元）"
300972.SZ,万辰生物,100.0,,,
300285.SZ,国瓷材料,100.0,,,
002273.SZ,水晶光电,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为25.31亿元,流动负债合计为13.57亿元"
300796.SZ,贝斯美,85.0,清仓式减持,1.0,"股东TXT:    一、股东持股情况
    截至公告日，股东嘉兴保航持有公司股份数为7497900股，占公司总股本比例为3.74%。
    三、减持计划的主要内容
    1、减持原因：股东自身资金需求。
    2、股份来源：公司首次公开发行前已发行的股份及公司资本公积金转增的股份。
    3、减持方式：集中竞价、大宗交易等方式。
    4、减持数量和比例：计划减持股份数量不超过7497900股，即不超过公司总股本的3.74%；采取集中竞价交易方式减持，在任意连续90个自然日内，减持股份的总数不超过公司股份总数的1%；采取大宗交易方式减持，在任意连续90个自然日内，减持股份的总数不超过公司股份总数的2%。若减持期间公司有送股、资本公积金转增股本等股份变动事项，前述减持股份数量进行相应调整。
    5、减持价格：根据减持时的市场价格确定，并且减持价格不低于公司首次公开发行股票时的发行价。
    6、减持时间区间：2022年11月17日至2023年5月17日（根据相关法律法规规定禁止减持的期间除外）。"
002187.SZ,广百股份,84.0,货币资产充足仍举债;业绩公告预警;业绩变脸风险;财报亏损,4.0,"截止20220930,公司货币资产为30.88亿元,流动负债合计为27.28亿元;预计公司2022年01-12月归属于上市公司股东的净利润为-14500万元至-10500万元，与上年同期相比变动幅度为-155.65%至-140.3%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-6736.59万"
002149.SZ,西部材料,88.0,高库存隐忧;短期负债风险,2.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
301328.SZ,维峰电子,100.0,,,
601900.SH,南方传媒,100.0,,,
002014.SZ,永新股份,100.0,,,
688358.SH,祥生医疗,100.0,,,
601518.SH,吉林高速,100.0,,,
603220.SH,中贝通信,95.0,应收账款占收入比例过高,1.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为118.62%"
688143.SH,长盈通,100.0,,,
600289.SH,ST信通,7.0,业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;交易所监管;审计报告其他非标;股权冻结;ST股票,8.0,"预计公司2022年01-12月归属于母公司所有者的净利润为-36681万元至-24454万元，与上年同期相比变动幅度为-82.77%至-21.85%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.49亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;就保函偿付事项明确监管要求TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6002892022101087119712.doc;二、形成保留意见的基础
如财务报表附注六、注释9所述，亿阳信通持有的其他权益工具投资亿阳集团股份有限公司（以下简称“亿阳集团”）1.6836%股权,年初账面价值为13,330.50万元，年末重新评估其他权益工具投资公允价值为12,978.91万元，处置费用418.98万元，可收回金额为12,559.93万元，评估减值770.57万元，减值率5.78%。根据《中国注册会计师审计准则第1421号-利用专家的工作》的要求，我们对评估报告（北方亚事评报字[2022]第01-281号）进行了复核。我们注意到该评估报告第十一项、“特别事项说明”提及评估报告使用者应对特别事项对评估结论产生的影响予以关注。因审计范围受到限制，我们无法对亿阳集团存在的特别事项及对评估结论产生的影响获取充分、适当的审计证据。
三、与持续经营相关的重大不确定性
我们提醒财务报表使用者关注，如财务报表附注三、（二）所述，亿阳信通2021年度净利润为亏损20,106.44万元，经营活动现金流量净额-12,138.74万元。由于诉讼事项导致亿阳信通包括基本户在内的多个银行账户被冻结（截止2021年12月31日冻结金额89,088.12万元），所持子公司股权、多处房产被冻结。
上述事项表明存在可能导致对亿阳信通持续经营能力产生重大疑虑的重大不确定性。该事项不影响已发表的审计意见。
四、强调事项
1、违规担保形成的未决诉讼
我们提醒财务报表使用者关注，如附注十二、承诺及或有事项及附注十三、资产负债表日后事项所述，截至审计报告出具日，亿阳信通尚有以下未决诉讼：汇钱途（厦门）资产管理有限公司诉亿阳信通及邓伟保证合同纠纷案，华融国际信托有限责任公司诉亿阳集团、邓伟及亿阳信通借款合同纠纷案，中国华融资产管理股份有限公司黑龙江省分公司诉亿阳集团、邓伟及亿阳信通借款合同纠纷案，交银国际信托有限公司诉亿阳集团、亿阳信通及邓伟金融借款合同纠纷案，乐赚企业管理咨询（上海）有限公司诉上海申衡商贸有限公司、亿阳信通股份有限公司民间借贷纠纷案尚未结案，涉案本金合计145,545.46万元。
2、投资者诉讼
2021年12月28日，亿阳信通及相关当事人收到黑龙江证监局下发的《行政处罚决定书》（[2021]1号）及《市场禁入决定书》（[2021]1号）。多名投资者以证券虚假陈述责任纠纷为由对亿阳信通提起民事诉讼，预计赔付金额存在较大的不确定性。
3.保函有效性
我们提醒财务报表使用者关注，如附注十五、其他重要事项说明所述，2021年4月28日，亿阳集团委托大连万怡向阜新银行申请5.56亿元保函，阜新银行承诺在保函额度内向亿阳信通支付约定事项的第三方扣划亿阳信通款项。截至审计报告出具日履约保函合计执行金额15,480.06万元。亿阳信通目前仍有尚未偿还的违规担保债务可能触发履约保函。
上述内容不影响已发表的审计意见。;2022-09-27,ST信通：亿阳信通关于公司回购股份被冻结暨涉及仲裁事项进展的公告;"
002949.SZ,华阳国际,100.0,,,
000803.SZ,山高环能,90.0,股票频繁更名;长期不分红,2.0,截止目前，该公司历史更名次数达4次及以上;久不分红，公司上市以来未进行现金分红
300507.SZ,苏奥传感,100.0,,,
002068.SZ,黑猫股份,69.0,净利润陡降风险;高应收款隐忧;短期负债风险;业绩公告预警,4.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为700万元至1000万元，与上年同期相比变动幅度为-98.38%至-97.68%。"
300453.SZ,三鑫医疗,100.0,,,
300447.SZ,全信股份,89.0,应收账款占收入比例过高;高库存隐忧,2.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为105.16%;截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%"
871642.BJ,通易航天,95.0,成交不活跃,1.0,"截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
603195.SH,公牛集团,88.0,"应收款增加,低现金流;货币资产充足仍举债",2.0,"截止20220930,公司应收账款增速为35.33%，净利润增速为7.03%，经营活动现金流（198114.27万元）小于净利润（236142.06万元）;截止20220930,公司货币资产为47.43亿元,流动负债合计为43.22亿元"
600248.SH,陕西建工,82.0,高应收款隐忧;应收账款占收入比例过高;经营现金流风险;诉讼风险,4.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为100.07%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次"
603590.SH,康辰药业,75.0,净利润陡降风险;清仓式减持,2.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;股东TXT:    股东持股的基本情况
    截至本公告披露日，北京工业发展投资管理有限公司（以下简称“北京工投”）持有北京康辰药业股份有限公司（以下简称“公司”）股份598000股，占公司总股本的0.37%，上述股份均来源于公司首次公开发行股票并上市前已有的股份。
    集中竞价减持计划的主要内容
    北京工投自本公告披露之日起3个交易日后的6个月内（2023/1/31～2023/7/30）通过集中竞价交易方式减持公司股份不超过598000股（即不超过公司总股本的0.37%）。若减持计划实施期间公司发生派发红利、送红股、转增资本、增发新股或配股等除权、除息事项，上述减持股份数量可以进行相应调整。"
002819.SZ,东方中科,100.0,,,
600390.SH,五矿资本,77.0,公允价值收益异常;营收陡降风险;关联交易风险,3.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止20220930，公司营业收入相比去年同期降幅超过50%;业务单一且大量关联方交易(关联交易方占净利润915.63%)"
600165.SH,宁科生物,71.0,短期负债风险;流动性风险;业绩公告预警;业绩变脸风险;财报亏损;长期不分红,6.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-16000万元至-13500万元，与上年同期相比变动幅度为-3.29%至12.85%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2142.18万;久不分红，公司最近一次现金分红为2000-12-31财报：10派2.74元(含税)
600208.SH,新湖中宝,75.0,分析师评级下调;高质押风险,2.0,投资建议：土储充足，科技投资和地产开发双轮驱动，“中性”评级。公司主营业务为地产和投资。地产：公司在环上海圈拥有丰富优质的土地储备，上海内环开发面积约175万平，增值潜力巨大。投资：公司对高科技企业的投资累计超过100亿元，已形成较为完善的规模和体系。我们预计公司2022年、2023年EPS分别是0.30和0.33元。我们给予公司2022年7-9倍的动态PE，对应的合理价值区间为2.1元-2.7元，调低至“中性”评级。;截止20230310公司质押比例已达46.41%
688119.SH,中钢洛耐,100.0,,,
301097.SZ,天益医疗,95.0,股东户数偏少,1.0,截至20230310，该公司股东户数<4000
300523.SZ,辰安科技,95.0,应收账款占收入比例过高,1.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为132.98%"
002574.SZ,明牌珠宝,55.0,业绩公告预警;业绩变脸风险;审计报告保留意见;公司被立案调查,4.0,"预计公司2022年01-12月归属于上市公司股东的净利润为-14000万元至-9500万元，与上年同期相比变动幅度为-202.21%至-169.36%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;如财务报表附注五(一)9所述，明牌珠宝公司持有苏州市好屋信息技术有限公司(以下简称苏州好屋公司)25%的股权，采用权益法核算，2020年度及2021年度分别确认投资收益-2,116.94万元、-7,987.17万元，2020年度计提股权投资减值准备30,396.15万元，截至2021年12月31日，该项股权投资账面价值为9,374.74万元。2020年度和2021年度苏州好屋公司净利润持续大幅度下滑，明牌珠宝公司对上述股权投资计提的减值准备系基于苏州好屋公司各期期末归属于母公司所有者权益所作出的判断。我们未能就该项股权投资2020年度及2021年度预估可收回金额的合理性获取充分、适当的审计证据，无法判断明牌珠宝公司2020年度和2021年度对苏州好屋公司股权投资所计提的减值准备是否准确及对长期股权投资账面价值的影响。我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于明牌珠宝公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;截止至20221109,浙江明牌珠宝股份有限公司（以下简称“公司”）于2022年11月9日收到绍兴市公安局柯桥区分局出具的《立案告知书》：浙江明牌珠宝股份有限公司被合同诈骗一案，公安机关认为符合刑事立案标准，现已立案侦查。"
688371.SH,菲沃泰,90.0,净利润陡降风险,1.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%
688189.SH,南新制药,75.0,净利润陡降风险;应收账款占收入比例过高;财报亏损,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为137.68%;最新季度20221231净利润：-1817.68万"
002495.SZ,佳隆股份,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-6000万元至-4800万元，与上年同期相比变动幅度为-324.58%至-279.67%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-184.97万
600580.SH,卧龙电驱,95.0,高应收款隐忧,1.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
603090.SH,宏盛股份,100.0,,,
002669.SZ,康达新材,94.0,存货同比大幅增加,1.0,截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%
300643.SZ,万通智控,100.0,,,
688160.SH,步科股份,100.0,,,
601658.SH,邮储银行,100.0,,,
002824.SZ,和胜股份,100.0,,,
605268.SH,王力安防,70.0,市盈率过高;净利润陡降风险;业绩公告预警;业绩变脸风险,4.0,该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于母公司所有者的净利润为-3700万元至-2500万元，与上年同期相比变动幅度为-126.9%至-118.18%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损
000420.SZ,吉林化纤,67.0,流动性风险;财报亏损;长期不分红;股权冻结,4.0,"截止至2022-09-30，流动比率小于1，速动比率小于0.5;最新季度20220930净利润：-8850.89万;久不分红，公司最近一次现金分红为2005-12-31财报：10派0.8元（含税）;2022-12-28,吉林化纤：吉林化纤股份有限公司股东股权冻结情况进展及新增轮候冻结的公告"
300736.SZ,百邦科技,75.0,业绩公告预警;业绩变脸风险;财报亏损;已大比例减持,4.0,预计公司2022年01-12月归属于上市公司股东的净利润为-3400万元至-2700万元，与上年同期相比变动幅度为-622.4%至-514.85%。;截止2023-01-16，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2559.00万;截止至20230220，该公司重要股东近半年已减持的股份占总股本的比例为：12.17%
000610.SZ,西安旅游,79.0,经营现金流风险;业绩公告预警;业绩变脸风险;财报亏损;存货同比大幅增加,5.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;预计公司2022年01-12月归属于上市公司股东的净利润为-16000万元至-11500万元，与上年同期相比变动幅度为-118.97%至-57.39%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-8087.25万;截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%"
002712.SZ,思美传媒,80.0,扣非亏损;财务粉饰;业绩公告预警;业绩变脸风险,4.0,该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30，非经常性损益1861万>3*净利润549万、净利润549万>500万;预计公司2022年01-12月归属于上市公司股东的净利润为-40000万元至-36000万元，与上年同期相比变动幅度为-774.09%至-706.68%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损
002478.SZ,常宝股份,95.0,员工人数陡降,1.0,截止2021-12-31，公司员工人数相对上期下降47.80%
002348.SZ,高乐股份,74.0,短期负债风险;财报亏损;审计报告其他非标,3.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20220930净利润：-5626.32万;我们提醒财务报表使用者关注，如财务报表附注十二、承诺及或有事项所述，针对业绩补偿义务人未能如期履行业绩补偿义务事项，高乐股份已向广东省揭阳市中级人民法院提起民事诉讼，目前，由于案件尚未进入实体审理，案件结果无法预测，高乐股份能否获得业绩补偿以及业绩补偿金额存在不确定性，具体以法院判决结果为准。
300019.SZ,硅宝科技,100.0,,,
688419.SH,耐科装备,100.0,,,
