涨停日期,一字板,涨停数,跌停数,开板数,开板率,连板数,最高 连板,两市 总成交,两市 总涨幅,涨停 总成交,涨停 总封单,涨停 最大封单,涨停封单,涨停 最大成交,涨停成交额,当日题材,连板股,反包股,长腿股,开板股,趋势股,大成交股,page
"2017-12-27
周三
涨停明细",5,32,3,13,28.90%,11,6,4100亿,-0.96%,109.26亿,60.29亿,8.83亿,"8.83亿名臣健康, 5.91亿赛腾股份, 5.66亿招商公路, 4.64亿中欣氟材, 4.28亿盐湖股份",20.22亿,"20.2亿盐湖股份, 11.8亿宝泰隆, 6.7亿贵州燃气, 5.9亿卫信康, 5.7亿科创新源",天然气涨价/超跌次新/次新股/超跌次新+猪肉涨价/超跌反弹/传闻澄清/超跌次新+年报预增,"6板贵州燃气, 4板卫信康, 3板华森制药/傲农生物, 2板ST泰禾/招商公路/金奥博/重庆建工/秦港股份/海天精工/中公高科",科创新源,,"2板盘龙药业(9.72%), 2板佛燃能源(7.48%), 1板神火股份(9.78%), 1板蓝焰控股(7.01%), 1板翔鹭钨业(3.64%)","81天永安林业, 71天华统股份, 42天大丰实业, 37天恒立液压, 37天新城控股, 36天蔚蓝锂芯, 36天西陇科学, 34天天顺风能, 32天南方航空, 31天神开股份",108亿中国平安/49亿京东方Ａ/48亿华能水电/46亿方大炭素/30亿中兴通讯/25亿贵州茅台/24亿中国中车/23亿格力电器/23亿徐工机械/22亿云铝股份/22亿赣锋锂业/21亿五 粮 液,
"2017-12-26
周二
涨停明细",1,45,3,9,16.70%,8,5,3645亿,0.47%,112.43亿,48.01亿,3.62亿,"3.62亿鹏翎股份, 3.33亿秦港股份, 3.08亿招商公路, 2.57亿亚宝药业, 2.31亿掌阅科技",8.2亿,"8.2亿佛燃能源, 7.3亿招商公路, 7.1亿贵州燃气, 6.3亿长春燃气, 6亿文一科技",天然气涨价/次新股/股东增持/乡村振兴/超跌反弹/收购/整体上市,"5板贵州燃气, 3板卫信康, 2板华森制药/庄园牧场/文一科技/一拖股份/傲农生物/大理药业",新余国科,14.98%环球印务/14.86%高争民爆,"1板四川双马(5.75%), 1板恒久科技(7.78%), 1板山河药辅(7.92%)","80天永安林业, 70天华统股份, 41天大丰实业, 36天恒立液压, 36天新城控股, 35天蔚蓝锂芯, 35天西陇科学, 33天天顺风能, 31天南方航空, 30天神开股份",61亿中国平安/45亿京东方Ａ/36亿方大炭素/34亿中兴通讯/32亿华能水电/31亿中国中车/24亿三一重工/22亿贵州茅台/21亿复星医药/20亿美的集团/19亿士兰微/19亿五 粮 液,
"2017-12-25
周一
涨停明细",1,19,11,9,32.10%,2,4,3812亿,-0.65%,48.21亿,18.79亿,2.02亿,"2.02亿佐力药业, 1.89亿中钢国际, 1.87亿当代退, 1.78亿文一科技, 1.39亿傲农生物",9.74亿,"9.7亿贵州燃气, 5.2亿赤峰黄金, 4.7亿文一科技, 4.1亿佐力药业, 2.7亿ST泰禾",天然气涨价/次新股/次新股+超跌反弹/签署协议/房地产开发/超跌反弹/阿里入股,"4板贵州燃气, 2板卫信康",,,"6板华能水电(0.4%), 2板润禾材料(7.08%), 1板乔治白(3.12%), 1板高争民爆(6.18%), 1板中新赛克(7.59%)","79天永安林业, 69天华统股份, 40天大丰实业, 35天恒立液压, 35天新城控股, 34天蔚蓝锂芯, 34天西陇科学, 32天天顺风能, 30天南方航空, 29天神开股份",83亿中国平安/47亿华能水电/46亿方大炭素/41亿京东方Ａ/37亿中兴通讯/29亿五 粮 液/26亿保利发展/25亿贵州茅台/23亿科大讯飞/23亿格力电器/22亿平安银行/21亿美的集团,
"2017-12-22
周五
涨停明细",1,13,3,5,27.80%,2,3,3373亿,-0.15%,39.8亿,16.28亿,2.17亿,"2.17亿皖天然气, 1.88亿润禾材料, 1.68亿金辰股份, 1.66亿退市中天, 1.53亿鹏都农牧",8.41亿,"8.4亿退市中天, 6.4亿贵州燃气, 4.7亿林洋能源, 4.5亿重庆燃气, 4.5亿皖天然气",天然气涨价/次新股/阿里入股/业绩预增/超跌反弹/天然气/光伏行业,"3板贵州燃气, 2板重庆燃气",,,"3板药石科技(3.08%), 1板永太科技(6.42%), 1板科恒股份(7.26%), 1板奥联电子(5.46%)","78天永安林业, 68天华统股份, 39天大丰实业, 36天凯普生物, 34天恒立液压, 34天新城控股, 33天蔚蓝锂芯, 33天西陇科学, 31天天顺风能, 29天南方航空",53亿中国平安/49亿京东方Ａ/39亿方大炭素/38亿中兴通讯/36亿TCL中环/28亿五 粮 液/22亿永辉超市/21亿士兰微/19亿华能水电/19亿贵州茅台/19亿隆基绿能/17亿科大讯飞,
"2017-12-21
周四
涨停明细",1,14,4,8,36.30%,2,2,3851亿,0.71%,33.43亿,20.6亿,3.1亿,"3.1亿中环环保, 2.88亿阿石创, 2.85亿我爱我家, 2.03亿广哈通信, 1.81亿科信技术",6.47亿,"6.5亿贵州燃气, 4亿中环环保, 3.5亿药石科技, 3.1亿我爱我家, 2.7亿重庆燃气",次新股/天然气涨价/5G/住房租赁/股权转让/高送转/重组获批,2板药石科技/贵州燃气,,14.96%科创新源,"1板启明信息(9.11%), 1板宝德退(3.83%), 1板乾照光电(7.3%)","78天亨通光电, 77天永安林业, 67天华统股份, 38天大丰实业, 35天凯普生物, 34天世荣兆业, 33天恒立液压, 33天新城控股, 32天蔚蓝锂芯, 32天西陇科学",78亿京东方Ａ/70亿中国平安/52亿中兴通讯/34亿华能水电/32亿贵州茅台/31亿五 粮 液/27亿士兰微/25亿保利发展/24亿海康威视/24亿科大讯飞/23亿永辉超市/22亿紫光国微,
"2017-12-20
周三
涨停明细",0,4,3,9,69.20%,0,1,3625亿,-0.46%,18.66亿,28.58亿,25.09亿,"25.09亿淮北矿业, 2.29亿贵州燃气, 0.76亿药石科技, 0.45亿深天地Ａ",7.05亿,"7亿淮北矿业, 5.7亿贵州燃气, 4.9亿药石科技, 1亿深天地Ａ",实控人变更/次新股/天然气涨价/收购,,,14.40%高斯贝尔,"1板中材科技(8.18%), 1板融钰集团(-0.28%), 1板华锋股份(6.43%)","77天亨通光电, 76天永安林业, 66天华统股份, 37天大丰实业, 34天凯普生物, 33天世荣兆业, 32天恒立液压, 32天新城控股, 31天蔚蓝锂芯, 31天西陇科学",69亿中国平安/43亿贵州茅台/37亿京东方Ａ/36亿永辉超市/31亿伊利股份/29亿中兴通讯/28亿科大讯飞/28亿五 粮 液/26亿士兰微/25亿格力电器/25亿TCL中环/24亿中国中车,
"2017-12-19
周二
涨停明细",0,17,9,5,22.70%,0,1,3329亿,0.96%,40.7亿,26.18亿,3.7亿,"3.7亿飞天诚信, 3.29亿张家港行, 2.56亿赢时胜, 2.41亿中科金财, 1.69亿天创时尚",7.61亿,"7.6亿安科生物, 7.1亿赢时胜, 4.9亿中科金财, 4.6亿中通国脉, 3.1亿张家港行",区块链/超跌反弹/5G/银行板块/细胞免疫治疗/唯品会收益,,,15.84%武汉凡谷,"1板博彦科技(9.67%), 1板宝色股份(4.89%), 1板信雅达(4.93%)","76天亨通光电, 75天永安林业, 65天华统股份, 51天华仁药业, 36天大丰实业, 33天凯普生物, 32天世荣兆业, 31天恒立液压, 31天新城控股, 30天蔚蓝锂芯",92亿中国平安/38亿京东方Ａ/32亿TCL中环/31亿平安银行/30亿五 粮 液/29亿贵州茅台/29亿中兴通讯/26亿格力电器/22亿招商银行/22亿永辉超市/18亿科大讯飞/18亿美的集团,
"2017-12-18
周一
涨停明细",2,11,16,6,35.30%,0,1,3425亿,-0.15%,31.32亿,19.12亿,3.92亿,"3.92亿湖南天雁, 3.74亿南方精工, 3.05亿潞安环能, 2.09亿丽岛新材, 1.74亿永安行",8.78亿,"8.8亿潞安环能, 7.9亿山西焦化, 4.1亿陕西黑猫, 3.4亿湖南天雁, 2.5亿丽岛新材",超跌反弹/煤炭/股权转让/收购/混合所有制改革/举牌/业绩预增,,,,"2板永辉超市(5.62%), 1板海洋王(6.06%), 1板威星智能(4.49%), 1板当升科技(5.51%)","96天新 和 成, 75天亨通光电, 74天永安林业, 64天华统股份, 50天华仁药业, 35天大丰实业, 32天凯普生物, 31天世荣兆业, 30天恒立液压, 30天新城控股",53亿永辉超市/48亿中国平安/45亿中兴通讯/39亿五 粮 液/34亿京东方Ａ/33亿科大讯飞/26亿贵州茅台/25亿TCL中环/24亿伊利股份/24亿格力电器/23亿士兰微/22亿方大炭素,
"2017-12-15
周五
涨停明细",1,22,5,6,21.40%,3,2,3767亿,-0.90%,57.92亿,40.84亿,10.38亿,"10.38亿万盛股份, 5.19亿汉王科技, 2.73亿冀东装备, 2.51亿华联综超, 2.43亿ST商城",8.98亿,"9亿冀东装备, 7.6亿协鑫集成, 5.5亿中百集团, 4.7亿汉王科技, 4.5亿文一科技",新零售/增持计划/并购重组/超跌反弹/雄安新区/次新股/细胞免疫治疗,2板中百集团/文一科技/万盛股份,,,"1板力盛体育(1.96%), 1板宇环数控(3.85%), 1板华平股份(2.4%)","95天新 和 成, 74天亨通光电, 73天永安林业, 63天华统股份, 49天华仁药业, 40天鲁西化工, 34天大丰实业, 33天金达威, 31天凯普生物, 30天世荣兆业",70亿京东方Ａ/52亿中国平安/39亿中兴通讯/34亿TCL中环/34亿伊利股份/29亿士兰微/29亿紫光国微/27亿科大讯飞/21亿贵州茅台/21亿方大炭素/19亿上海贝岭/18亿华友钴业,
"2017-12-14
周四
涨停明细",2,22,0,9,29.00%,1,2,3581亿,-0.31%,78.8亿,39.62亿,7.25亿,"7.25亿万盛股份, 4.2亿佛燃能源, 3.46亿银信科技, 3.2亿西部建设, 2.63亿贵州燃气",14.04亿,"14亿西部建设, 9.8亿银信科技, 9.2亿江丰电子, 6.4亿铁龙物流, 5.7亿中新赛克",收购/新零售/3D打印/大数据/次新股/央企混改/超跌反弹,2板南华生物,,,"1板烽火电子(6%), 1板钱江摩托(8.06%), 1板大东南(2.44%)","94天新 和 成, 73天亨通光电, 72天永安林业, 62天华统股份, 48天华仁药业, 42天金 螳 螂, 39天鲁西化工, 36天招商银行, 33天大丰实业, 32天金达威",48亿中国平安/39亿TCL中环/38亿紫光国微/35亿京东方Ａ/29亿中兴通讯/26亿欧菲光/26亿科大讯飞/23亿士兰微/21亿贵州茅台/19亿中天科技/18亿格力电器/17亿伊利股份,
"2017-12-13
周三
涨停明细",0,12,0,3,20.00%,0,1,3361亿,0.79%,70.9亿,22.97亿,5.68亿,"5.68亿TCL中环, 3.14亿台基股份, 2.23亿太辰光, 2.06亿德创环保, 1.94亿赛摩智能",35.41亿,"35.4亿TCL中环, 13.3亿金风科技, 3.4亿台基股份, 3.3亿英科医疗, 2.9亿勘设股份",收购/超跌反弹/次新股/新能源/天然气涨价/半导体/业绩预增,,TCL中环,,"1板远 望 谷(8.5%), 1板爱康科技(7.3%), 1板尔康制药(9.15%)","93天新 和 成, 72天亨通光电, 71天永安林业, 61天华统股份, 47天华仁药业, 41天金 螳 螂, 40天中国平安, 38天鲁西化工, 35天招商银行, 32天大丰实业",62亿中国平安/39亿京东方Ａ/38亿中兴通讯/35亿TCL中环/32亿贵州茅台/26亿格力电器/24亿士兰微/23亿紫光国微/23亿伊利股份/23亿华友钴业/22亿五 粮 液/21亿科大讯飞,
"2017-12-12
周二
涨停明细",1,6,5,14,70.00%,2,2,3786亿,-1.07%,20.5亿,45.7亿,23.19亿,"23.19亿数据港, 17.5亿海量数据, 1.7亿银信科技, 1.41亿百川股份, 1.31亿吉峰科技",11.27亿,"11.3亿数据港, 4.9亿银信科技, 1.7亿百川股份, 1.7亿文一科技, 0.5亿吉峰科技",大数据/举牌/锂电池+超跌反弹/农村振兴,2板文一科技/海量数据,,,"1板三木集团(6.2%), 1板华闻集团(6.05%), 1板嘉凯城(6.35%)","92天新 和 成, 71天亨通光电, 70天永安林业, 60天华统股份, 46天华仁药业, 40天金 螳 螂, 39天中国平安, 37天鲁西化工, 34天招商银行, 31天大丰实业",56亿中国平安/45亿京东方Ａ/38亿TCL中环/35亿中兴通讯/31亿贵州茅台/27亿方大炭素/27亿紫光国微/27亿科大讯飞/26亿赣锋锂业/26亿三六零/25亿华友钴业/24亿格力电器,
"2017-12-11
周一
涨停明细",8,30,1,20,40.00%,2,2,4020亿,1.44%,75.39亿,65.51亿,26.73亿,"26.73亿数据港, 8.14亿海量数据, 3.58亿昆仑万维, 2.17亿海特高新, 1.9亿暴风退",10.36亿,"10.4亿新 华 都, 7.5亿通威股份, 7.2亿信立泰, 6.5亿石基信息, 5亿三江购物",新零售/子公司增资/大数据/砷化镓/医药/CART治疗/光通信,2板新 华 都/暴风退,,,"5板合力科技(8.5%), 2板拓维信息(7.19%), 2板中新赛克(4.18%), 2板四方精创(5.19%), 2板移为通信(6.84%), 1板安凯客车(7.46%), 1板粤 水 电(7.39%), 1板启明信息(7.12%)","91天新 和 成, 70天亨通光电, 69天永安林业, 59天华统股份, 45天华仁药业, 39天金 螳 螂, 38天中国平安, 36天鲁西化工, 33天招商银行, 30天大丰实业",82亿中国平安/62亿京东方Ａ/48亿中兴通讯/47亿贵州茅台/35亿格力电器/35亿科大讯飞/34亿五 粮 液/31亿紫光国微/30亿平安银行/27亿三六零/25亿美的集团/23亿士兰微,
"2017-12-08
周五
涨停明细",1,34,4,15,30.60%,3,3,3729亿,0.89%,76.63亿,46.56亿,5.55亿,"5.55亿永辉超市, 3.28亿移为通信, 2.77亿润欣科技, 2.49亿阿石创, 2.4亿香飘飘",7.56亿,"7.6亿国新健康, 5.8亿永辉超市, 5.3亿中新赛克, 5.3亿香飘飘, 4.2亿中科信息",机构买入/次新股/实控人变更/新零售/区块链/碳纤维/华为概念,"3板药石科技, 2板国新健康/纵横通信",香飘飘,15.12%移为通信,"2板华脉科技(3.94%), 1板奥特佳(3.94%), 1板电光科技(5.34%), 1板GQY视讯(7.46%)","90天新 和 成, 69天亨通光电, 68天永安林业, 58天华统股份, 44天华仁药业, 38天金 螳 螂, 37天中国平安, 35天鲁西化工, 32天招商银行, 29天大丰实业",77亿中国平安/48亿京东方Ａ/38亿中兴通讯/32亿紫光国微/30亿士兰微/28亿贵州茅台/27亿科大讯飞/26亿三六零/24亿格力电器/23亿美的集团/21亿TCL中环/19亿领益智造,
"2017-12-07
周四
涨停明细",0,17,2,13,43.30%,1,2,3499亿,-0.84%,45.31亿,26.33亿,4.75亿,"4.75亿领益智造, 3.99亿中国核建, 2.55亿*ST大通, 2.37亿中兵红箭, 2.02亿天龙集团",9.74亿,"9.7亿领益智造, 8亿国新健康, 4.6亿药石科技, 4.1亿*ST荣华, 2.8亿泸天化",机构买入/5G/股权转让/增持计划/业绩增长/实控人变更/军工,2板药石科技,国新健康,14.56%贝肯能源,"5板香飘飘(6.02%), 2板聚灿光电(8.72%), 1板当代退(7%), 1板安泰科技(5.67%), 1板北京科锐(4.22%)","89天新 和 成, 69天沃森生物, 68天亨通光电, 67天永安林业, 57天华统股份, 43天华仁药业, 42天中国巨石, 37天金 螳 螂, 37天长江电力, 36天中国平安",59亿中国平安/40亿京东方Ａ/36亿三六零/35亿士兰微/32亿贵州茅台/29亿科大讯飞/25亿格力电器/24亿中信证券/24亿亨通光电/21亿中兴通讯/20亿保利发展/19亿美的集团,
"2017-12-06
周三
涨停明细",0,18,3,6,25.00%,1,2,3934亿,0.11%,103.37亿,30.26亿,4.4亿,"4.4亿盈方微, 3.24亿士兰微, 3.22亿聚灿光电, 2.95亿有研新材, 2.81亿振华科技",29.45亿,"29.4亿士兰微, 14.6亿上海贝岭, 11.7亿有研新材, 9.4亿苏州固锝, 5.5亿聚灿光电",磷酸涨价+超跌反弹/芯片概念/半导体+芯片/超跌反弹/次新股/半导体产业链/终止减持,2板川恒股份,,16.09%沃特股份/14.98%士兰微,"3板国新健康(1.79%), 2板正威新材(4.44%), 1板云鼎科技(2.65%), 1板冀东装备(5.29%), 1板文一科技(8.33%)","88天新 和 成, 68天沃森生物, 66天永安林业, 58天中兴通讯, 56天华统股份, 52天圣邦股份, 45天安琪酵母, 44天华鼎股份, 42天华仁药业, 41天中国巨石",87亿中国平安/69亿京东方Ａ/40亿科大讯飞/37亿贵州茅台/34亿中兴通讯/29亿士兰微/27亿格力电器/27亿中信证券/24亿紫光国微/22亿国新健康/22亿TCL中环/22亿海螺水泥,
"2017-12-05
周二
涨停明细",1,6,26,12,66.60%,1,2,4827亿,-0.82%,6.14亿,13.62亿,4.26亿,"4.26亿国新健康, 2.56亿ST林重, 2.21亿中环环保, 2.16亿川恒股份, 1.84亿新劲刚",2.08亿,"2.1亿川恒股份, 1.5亿中环环保, 0.8亿ST林重, 0.7亿九鼎投资, 0.5亿国新健康",实控人变更/收购/磷酸涨价+超跌反弹/军民融合/污水处理/增持计划,2板国新健康,,,"10板宏达电子(1.88%), 2板云南能投(2.11%), 1板信邦制药(7.79%), 1板沃特股份(3.34%), 1板万顺新材(-0.1%)","87天新 和 成, 87天通威股份, 86天中储股份, 67天沃森生物, 65天永安林业, 57天中兴通讯, 55天华统股份, 51天圣邦股份, 44天安琪酵母, 43天华鼎股份",119亿中国平安/64亿京东方Ａ/52亿科大讯飞/44亿中信证券/36亿中国建筑/34亿中兴通讯/33亿中国中车/32亿三六零/31亿格力电器/31亿海螺水泥/30亿贵州茅台/30亿兴业银行,
"2017-12-04
周一
涨停明细",1,5,67,8,61.50%,0,1,4073亿,-0.11%,7.48亿,27.82亿,15.81亿,"15.81亿*ST荣华, 7.59亿国新健康, 2.4亿金牛化工, 1.04亿云南能投, 0.99亿雅博股份",3.94亿,"3.9亿*ST荣华, 1.6亿雅博股份, 1.4亿金牛化工, 0.3亿国新健康, 0.2亿云南能投",资产重组/购买资产/光伏行业/股权转让/甲醇,,,,"16板药石科技(-0.62%), 9板中新赛克(-0.51%), 9板宏达电子(-8.88%), 4板豪能股份(-7.5%), 1板蓝焰控股(2.49%), 1板广汇能源(6.89%), 1板电子城(6.87%)","86天新 和 成, 86天通威股份, 85天中储股份, 81天摩恩电气, 71天ST摩登, 66天沃森生物, 64天永安林业, 62天天融信, 61天江丰电子, 59天中科曙光",80亿中国平安/73亿京东方Ａ/40亿中兴通讯/36亿科大讯飞/34亿贵州茅台/31亿士兰微/30亿格力电器/27亿五 粮 液/27亿TCL中环/24亿中信证券/23亿紫光国微/20亿方大炭素,
"2017-12-01
周五
涨停明细",3,22,1,11,33.30%,1,2,3877亿,0.32%,99.93亿,53.83亿,12.75亿,"12.75亿*ST荣华, 7.05亿士兰微, 3.83亿中文在线, 3.79亿药石科技, 3.78亿TCL中环",35.56亿,"35.6亿TCL中环, 23.2亿士兰微, 11.1亿太极实业, 6.1亿大立科技, 4亿武汉凡谷",跨境电商/超跌反弹/电竞/5G/核高基/收购/药物获批临床,2板人人乐,,,"19板三六零(8.32%), 3板中农立华(0.12%), 1板中国铁物(3.78%), 1板网宿科技(8.67%), 1板鼎龙股份(7.4%)","85天新 和 成, 85天通威股份, 84天中储股份, 80天摩恩电气, 70天ST摩登, 65天沃森生物, 63天永安林业, 61天天融信, 60天江丰电子, 58天中科曙光",96亿中国平安/58亿三六零/48亿科大讯飞/42亿京东方Ａ/36亿TCL中环/33亿紫光国微/33亿中兴通讯/30亿中信证券/30亿贵州茅台/29亿格力电器/26亿保利发展/24亿平安银行,
"2017-11-30
周四
涨停明细",4,13,1,17,56.60%,4,18,4030亿,-0.93%,46.98亿,183.74亿,148.17亿,"148.17亿三六零, 8.35亿TCL中环, 5.28亿盘龙药业, 4.91亿药石科技, 4.63亿退市罗顿",18.09亿,"18.1亿三六零, 5.7亿退市罗顿, 5.4亿新余国科, 5.1亿张家港行, 5亿中农立华",借壳/次新股/收购/超跌反弹/芯片/跨境电商/半导体,"18板三六零, 2板TCL中环/张家港行/中农立华",,,"3板数知退(5.73%), 2板三钢闽光(5.35%), 1板深圳华强(4.78%), 1板风华高科(6.78%), 1板西安饮食(3.42%)","84天新 和 成, 84天通威股份, 83天中储股份, 79天摩恩电气, 69天ST摩登, 64天沃森生物, 62天永安林业, 60天大族激光, 60天天融信, 59天江丰电子",82亿中国平安/51亿中信证券/47亿京东方Ａ/36亿中兴通讯/32亿科大讯飞/32亿万 科Ａ/30亿保利发展/28亿中国中车/25亿紫光国微/24亿贵州茅台/24亿数知退/22亿中国建筑,
"2017-11-29
周三
涨停明细",3,25,1,14,35.90%,5,17,4571亿,0.02%,127.73亿,229.8亿,165.52亿,"165.52亿三六零, 17.96亿数知退, 10.05亿TCL中环, 7.22亿保利发展, 2.28亿三钢闽光",30.56亿,"30.6亿保利发展, 16.4亿三钢闽光, 11.5亿安阳钢铁, 9亿西部建设, 7.2亿新城控股",借壳/新疆基建/水泥涨价/新能源汽车/高送转/超跌反弹/收购,"17板三六零, 3板西部建设, 2板万年青/数知退/奇精机械",,15.68%光启技术/14.19%奇精机械,"2板大西洋(3.51%), 1板万 科Ａ(9.98%), 1板兴业矿业(9.39%), 1板东方电子(9.7%)","83天新 和 成, 83天通威股份, 82天中储股份, 78天摩恩电气, 68天ST摩登, 63天沃森生物, 61天永安林业, 59天大族激光, 59天天融信, 58天江丰电子",64亿中国平安/56亿京东方Ａ/50亿科大讯飞/45亿中兴通讯/34亿紫光国微/33亿方大炭素/33亿海螺水泥/32亿格力电器/31亿保利发展/30亿中信证券/30亿贵州茅台/29亿万 科Ａ,
"2017-11-28
周二
涨停明细",2,33,4,12,26.70%,2,16,3714亿,0.80%,159.44亿,226.78亿,159.83亿,"159.83亿三六零, 25.44亿数知退, 4.99亿韶钢松山, 3.11亿北京君正, 2.79亿硕贝德",28.6亿,"28.6亿紫光国微, 18.1亿韶钢松山, 12.3亿寒锐钴业, 12.1亿士兰微, 10.4亿国民技术",借壳/新疆基建/芯片/芯片概念/收购/超跌反弹/5G,"16板三六零, 2板西部建设",,16.54%万孚生物/14.53%桐昆股份/14.17%日盈电子,"1板恒逸石化(9.22%), 1板新 和 成(9.23%), 1板通富微电(9.07%)","82天新 和 成, 82天通威股份, 81天中储股份, 77天摩恩电气, 67天ST摩登, 63天杰克股份, 62天沃森生物, 60天永安林业, 58天大族激光, 58天天融信",77亿京东方Ａ/57亿中国平安/52亿科大讯飞/45亿中兴通讯/45亿贵州茅台/29亿紫光国微/29亿中信证券/24亿平安银行/24亿中国联通/20亿三钢闽光/20亿中国中车/19亿格力电器,
"2017-11-27
周一
涨停明细",1,11,39,10,47.60%,1,15,4314亿,-1.43%,27.73亿,188.93亿,168.69亿,"168.69亿三六零, 5.28亿三钢闽光, 4.2亿西部建设, 3.52亿丽岛新材, 2.27亿奥园美谷",11.8亿,"11.8亿三钢闽光, 3.4亿西部建设, 2.8亿丽岛新材, 2.5亿奥园美谷, 2.2亿河钢资源",借壳/雄安新区/超跌反弹/水泥板块/收购/智能制造/疑似庄股,15板三六零,,16.46%新力金融/15.29%美芝股份,"14板贵州燃气(3.37%), 2板光启技术(-4.25%), 1板风华高科(7.81%), 1板法尔胜(4.05%), 1板莱宝高科(4.46%)","81天新 和 成, 81天通威股份, 80天中储股份, 76天摩恩电气, 66天ST摩登, 62天杰克股份, 61天沃森生物, 59天永安林业, 57天大族激光, 57天天融信",134亿京东方Ａ/120亿中国平安/60亿中兴通讯/45亿中国联通/40亿贵州茅台/37亿科大讯飞/34亿中信证券/32亿格力电器/32亿中国中车/29亿招商银行/29亿平安银行/27亿伊利股份,
"2017-11-24
周五
涨停明细",2,19,15,11,36.70%,1,14,4402亿,0%,54.63亿,200.46亿,167.34亿,"167.34亿三六零, 8.59亿盐湖股份, 4.02亿大唐电信, 2.82亿佳力图, 2.52亿有研新材",8.51亿,"8.5亿盐湖股份, 7.2亿长江通信, 6.1亿鹏欣资源, 6亿西藏矿业, 5.4亿有研新材",借壳/超跌反弹/央企整合/锂电池/获奖/疑似庄股/收购,14板三六零,,17.50%派生科技/15.46%佳力图/15.32%东晶电子,"2板海联讯(4.99%), 1板高鸿股份(9.29%), 1板华西股份(9.59%), 1板双鹭药业(8.39%)","80天新 和 成, 80天通威股份, 79天中储股份, 75天摩恩电气, 68天长春高新, 65天ST摩登, 61天杰克股份, 60天新纶新材, 60天沃森生物, 58天永安林业",98亿中国平安/94亿京东方Ａ/49亿格力电器/48亿贵州茅台/47亿科大讯飞/43亿中兴通讯/42亿中国联通/41亿中信证券/37亿平安银行/36亿伊利股份/31亿五 粮 液/31亿紫光国微,
"2017-11-23
周四
涨停明细",2,11,20,12,52.20%,3,13,5545亿,-2.81%,23.3亿,161.01亿,131.48亿,"131.48亿三六零, 16.86亿汇顶科技, 2.32亿中富通, 2.12亿天利科技, 2.07亿德生科技",8.21亿,"8.2亿北京君正, 4.3亿芒果超媒, 2.6亿德生科技, 1.9亿长缆科技, 1.9亿汇顶科技",借壳/收购/核高基，芯片/逆势上涨/股权解除质押/高送转预期/次新股,"13板三六零, 2板北京君正/芒果超媒",,,"2板中光防雷(9.24%), 2板苏博特(-0.09%), 1板*ST同洲(5.24%), 1板乐通股份(3.81%), 1板凯中精密(4.98%)","79天新 和 成, 79天通威股份, 78天中储股份, 74天摩恩电气, 67天长春高新, 67天亨通光电, 64天ST摩登, 60天杰克股份, 59天新纶新材, 59天沃森生物",120亿京东方Ａ/120亿中国平安/70亿贵州茅台/58亿科大讯飞/57亿中国联通/53亿中信证券/51亿中兴通讯/46亿民生银行/44亿格力电器/44亿中国建筑/42亿四维图新/38亿紫光国微,
"2017-11-22
周三
涨停明细",1,17,4,17,50.00%,2,12,5660亿,0.11%,51.62亿,173.25亿,142.93亿,"142.93亿三六零, 3.61亿北京君正, 3.3亿凯普生物, 3.15亿景嘉微, 2.65亿奥特佳",8.41亿,"8.4亿中航沈飞, 7.8亿景嘉微, 7.6亿芒果超媒, 5.3亿凯普生物, 3.6亿东软载波",借壳/核高基/集团改制/比亚迪供货商/终止减持/芯片概念/芯片,"12板三六零, 2板大立科技",,16.99%常宝股份/16.62%苏博特,"3板中曼石油(7.51%), 2板ST冠福(7.32%), 1板吉林化纤(7.72%), 1板蔚蓝锂芯(8.99%), 1板多氟多(5.56%)","78天新 和 成, 78天通威股份, 77天中储股份, 73天摩恩电气, 66天长春高新, 66天亨通光电, 63天ST摩登, 61天恒瑞医药, 59天杰克股份, 58天新纶新材",149亿京东方Ａ/101亿中国平安/85亿贵州茅台/76亿科大讯飞/75亿中信证券/63亿中国建筑/52亿中兴通讯/47亿中国中车/44亿中国联通/42亿格力电器/40亿兴业银行/38亿平安银行,
"2017-11-21
周二
涨停明细",3,24,6,10,29.40%,4,11,5625亿,0.99%,99.49亿,183.01亿,122.59亿,"122.59亿三六零, 19.88亿芒果超媒, 10.02亿凯普生物, 3.75亿英维克, 3.73亿佳力图",32.89亿,"32.9亿万 科Ａ, 11.9亿新 和 成, 7.5亿大富科技, 4.7亿ST冠福, 4.6亿*ST艾格",借壳/5G/移动互联网概念/高送转/收购/超跌反弹/券商板块,"11板三六零, 2板*ST艾格/广和通/凯普生物",,15.82%佳力图/15.43%高新发展/14.83%大富科技,"6板乐惠国际(2.43%), 2板美芝股份(7.42%), 2板圣邦股份(9.83%), 1板福晶科技(7.98%), 1板金达威(9.25%), 1板通宇通讯(5.29%)","77天新 和 成, 77天通威股份, 76天中储股份, 72天摩恩电气, 65天长春高新, 65天亨通光电, 64天晨光股份, 62天ST摩登, 60天恒瑞医药, 58天杰克股份",167亿京东方Ａ/113亿中国平安/81亿中信证券/65亿贵州茅台/61亿中兴通讯/57亿格力电器/50亿科大讯飞/49亿中国联通/45亿兴业银行/37亿美的集团/36亿伊利股份/36亿平安银行,
